48# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
909# Number of data
# a b m n rhoa
18 20 26 24 1342.525
19 21 27 25 1346.295
20 22 28 26 1345.260
21 23 29 27 1145.252
22 24 30 28 1103.964
23 25 31 29 1160.252
24 26 32 30 1159.458
25 27 33 31 1307.613
26 28 34 32 1353.494
27 29 35 33 1058.437
28 30 36 34 950.737
29 31 37 35 850.086
30 32 38 36 704.710
31 33 39 37 649.321
32 34 40 38 586.501
33 35 41 39 579.852
34 36 42 40 495.272
35 37 43 41 489.024
36 38 44 42 557.248
37 39 45 43 500.598
38 40 46 44 598.438
39 41 47 45 683.889
40 42 48 46 738.302
1 3 11 9 953.621
2 4 12 10 1004.261
3 5 13 11 1122.341
4 6 14 12 1099.769
5 7 15 13 889.293
6 8 16 14 830.393
7 9 17 15 1286.765
8 10 18 16 1955.662
9 11 19 17 1980.250
10 12 20 18 1844.786
11 13 21 19 1665.123
12 14 22 20 1530.561
13 15 23 21 1339.475
14 16 24 22 1255.351
15 17 25 23 1415.142
16 18 26 24 1433.225
17 19 27 25 1547.982
18 20 28 26 1613.448
19 21 29 27 1383.682
20 22 30 28 1116.919
21 23 31 29 964.590
22 24 32 30 921.601
23 25 33 31 954.510
24 26 34 32 950.409
25 27 35 33 885.362
26 28 36 34 824.548
27 29 37 35 654.262
28 30 38 36 628.175
29 31 39 37 615.377
30 32 40 38 545.348
31 33 41 39 597.203
32 34 42 40 516.705
33 35 43 41 471.464
34 36 44 42 492.614
35 37 45 43 457.621
36 38 46 44 465.312
37 39 47 45 488.803
38 40 48 46 598.279
1 3 13 11 848.935
2 4 14 12 740.078
3 5 15 13 751.429
4 6 16 14 879.217
5 7 17 15 849.362
6 8 18 16 735.256
7 9 19 17 931.503
8 10 20 18 1282.921
9 11 21 19 1309.901
10 12 22 20 1229.692
11 13 23 21 1050.723
12 14 24 22 890.257
13 15 25 23 995.273
14 16 26 24 1169.968
15 17 27 25 1436.544
16 18 28 26 1600.309
17 19 29 27 1434.708
18 20 30 28 1202.434
19 21 31 29 1055.239
20 22 32 30 847.409
21 23 33 31 709.419
22 24 34 32 687.547
23 25 35 33 593.182
24 26 36 34 535.553
25 27 37 35 517.624
26 28 38 36 513.189
27 29 39 37 448.971
28 30 40 38 486.809
29 31 41 39 541.594
30 32 42 40 469.343
31 33 43 41 502.347
32 34 44 42 514.925
33 35 45 43 440.244
34 36 46 44 424.311
35 37 47 45 445.587
36 38 48 46 492.504
1 3 15 13 557.715
2 4 16 14 585.569
3 5 17 15 680.272
4 6 18 16 729.183
5 7 19 17 597.799
6 8 20 18 460.724
7 9 21 19 585.298
8 10 22 20 818.572
9 11 23 21 729.574
10 12 24 22 686.570
11 13 25 23 745.972
12 14 26 24 767.791
13 15 27 25 975.235
14 16 28 26 1236.509
15 17 29 27 1249.186
16 18 30 28 1118.643
17 19 31 29 1031.418
18 20 32 30 847.279
19 21 33 31 727.212
20 22 34 32 589.103
21 23 35 33 415.663
22 24 36 34 368.570
23 25 37 35 330.853
24 26 38 36 326.896
25 27 39 37 347.560
26 28 40 38 385.934
27 29 41 39 391.793
28 30 42 40 399.844
29 31 43 41 469.317
30 32 44 42 510.674
31 33 45 43 495.806
32 34 46 44 430.593
33 35 47 45 417.250
34 36 48 46 456.828
1 4 16 13 581.075
