51# Number of electrodes
# x z
0.000     0.000
1.500     0.000
3.000     0.000
4.500     0.000
6.000     0.000
7.500     0.000
9.000     0.000
10.500     0.000
12.000     0.000
13.500     0.000
15.000     0.000
16.500     0.000
18.000     0.000
19.500     0.000
21.000     0.000
22.500     0.000
24.000     0.000
25.500     0.000
27.000     0.000
28.500     0.000
30.000     0.000
31.500     0.000
33.000     0.000
34.500     0.000
36.000     0.000
37.500     0.000
39.000     0.000
40.500     0.000
42.000     0.000
43.500     0.000
45.000     0.000
46.500     0.000
48.000     0.000
49.500     0.000
51.000     0.000
52.500     0.000
54.000     0.000
55.500     0.000
57.000     0.000
58.500     0.000
60.000     0.000
61.500     0.000
63.000     0.000
64.500     0.000
66.000     0.000
67.500     0.000
69.000     0.000
70.500     0.000
72.000     0.000
73.500     0.000
75.000     0.000
1011# Number of data
# a b m n rhoa
18 20 32 30 194.278
19 21 33 31 203.257
20 22 34 32 211.722
21 23 35 33 201.667
22 24 36 34 201.747
23 25 37 35 229.132
24 26 38 36 244.253
25 27 39 37 232.767
26 28 40 38 208.047
27 29 41 39 264.573
28 30 42 40 264.791
29 31 43 41 174.368
30 32 44 42 169.281
31 33 45 43 191.633
32 34 46 44 163.449
33 35 47 45 141.467
34 36 48 46 137.726
35 37 49 47 161.899
36 38 50 48 216.208
37 39 51 49 220.199
1 4 16 13 185.253
2 5 17 14 191.918
3 6 18 15 215.496
4 7 19 16 216.497
5 8 20 17 209.733
6 9 21 18 202.207
7 10 22 19 189.164
8 11 23 20 200.295
9 12 24 21 210.483
10 13 25 22 217.413
11 14 26 23 234.338
12 15 27 24 238.681
13 16 28 25 233.461
14 17 29 26 247.562
15 18 30 27 254.152
16 19 31 28 252.620
17 20 32 29 204.149
18 21 33 30 196.278
19 22 34 31 210.731
20 23 35 32 202.320
21 24 36 33 207.969
22 25 37 34 213.146
23 26 38 35 240.674
24 27 39 36 226.356
25 28 40 37 226.398
26 29 41 38 244.644
27 30 42 39 247.796
28 31 43 40 218.857
29 32 44 41 190.801
30 33 45 42 169.123
31 34 46 43 185.765
32 35 47 44 152.096
33 36 48 45 147.880
34 37 49 46 149.051
35 38 50 47 185.734
36 39 51 48 212.663
1 4 19 16 177.173
2 5 20 17 175.471
3 6 21 18 180.475
4 7 22 19 168.611
5 8 23 20 175.205
6 9 24 21 175.980
7 10 25 22 180.000
8 11 26 23 197.864
9 12 27 24 213.172
10 13 28 25 207.477
11 14 29 26 217.056
12 15 30 27 220.336
13 16 31 28 226.070
14 17 32 29 210.248
15 18 33 30 215.371
16 19 34 31 233.885
17 20 35 32 206.606
18 21 36 33 203.411
19 22 37 34 196.343
20 23 38 35 211.136
21 24 39 36 210.666
22 25 40 37 231.872
23 26 41 38 244.788
24 27 42 39 239.846
25 28 43 40 212.289
26 29 44 41 201.042
27 30 45 42 174.396
28 31 46 43 166.909
29 32 47 44 140.688
30 33 48 45 129.909
31 34 49 46 145.211
32 35 50 47 157.432
33 36 51 48 188.087
1 4 22 19 133.339
2 5 23 20 141.038
3 6 24 21 152.408
4 7 25 22 154.378
5 8 26 23 167.995
6 9 27 24 171.339
7 10 28 25 164.600
8 11 29 26 174.318
9 12 30 27 188.410
10 13 31 28 191.755
11 14 32 29 176.802
12 15 33 30 180.859
13 16 34 31 200.879
14 17 35 32 205.243
15 18 36 33 212.725
16 19 37 34 209.706
17 20 38 35 206.015
18 21 39 36 198.128
19 22 40 37 205.213
20 23 41 38 210.251
21 24 42 39 216.257
22 25 43 40 210.043
23 26 44 41 196.871
24 27 45 42 165.778
25 28 46 43 159.167
26 29 47 44 144.699
27 30 48 45 129.390
28 31 49 46 132.092
29 32 50 47 140.602
30 33 51 48 160.642
1 5 25 21 130.846
2 6 26 22 142.895
3 7 27 23 146.288
4 8 28 24 151.679
5 9 29 25 163.071
6 10 30 26 151.732
7 11 31 27 156.617
8 12 32 28 168.455
9 13 33 29 158.668
10 14 34 30 165.522
11 15 35 31 178.649
12 16 36 32 181.250
13 17 37 33 191.308
14 18 38 34 200.122
15 19 39 35 212.156
16 20 40 36 197.792
17 21 41 37 208.303
18 22 42 38 202.799
19 23 43 39 187.908
20 24 44 40 188.285
21 25 45 41 174.215
22 26 46 42 156.655
23 27 47 43 151.950
24 28 48 44 129.647
25 29 49 45 133.802
26 30 50 46 135.189
27 31 51 47 138.303
1 5 29 25 101.161
2 6 30 26 121.576
3 7 31 27 113.487
4 8 32 28 127.606
5 9 33 29 119.425
6 10 34 30 116.232
7 11 35 31 132.738
8 12 36 32 137.264
9 13 37 33 139.547
10 14 38 34 148.902
11 15 39 35 158.151
12 16 40 36 165.778
13 17 41 37 184.092
14 18 42 38 189.819
15 19 43 39 186.230
16 20 44 40 173.233
17 21 45 41 147.173
18 22 46 42 131.049
19 23 47 43 125.270
20 24 48 44 111.521
21 25 49 45 115.295
22 26 50 46 124.584
23 27 51 47 129.347
1 6 31 26 111.618
2 7 32 27 109.620
3 8 33 28 113.210
4 9 34 29 111.966
5 10 35 30 112.579
6 11 36 31 121.674
7 12 37 32 127.800
8 13 38 33 136.376
9 14 39 34 140.806
10 15 40 35 153.134
11 16 41 36 168.977
12 17 42 37 176.469
13 18 43 38 173.152
14 19 44 39 176.460
15 20 45 40 163.746
16 21 46 41 142.851
17 22 47 42 124.266
18 23 48 43 119.402
19 24 49 44 110.628
20 25 50 45 117.272
21 26 51 46 121.316
1 6 36 31 83.770
2 7 37 32 86.260
3 8 38 33 88.124
4 9 39 34 93.006
5 10 40 35 98.350
6 11 41 36 95.282
